,page_index,page_element_index,farm_id,user_name,farm_name,gender,spouse,pet_type,pet_name,total_earnings,favorite_thing,time_played,farming_skill,mining_skill,foraging_skill,fishing_skill,combat_skill
80,10111,1,1GkmyY,wendy,Cherish,Female,Unmarried,cat,chen,51010,strawberry,21.7 hours,4,3,5,7,2
81,12781,1,1ENS1l,Asgore,Underground,Male,Haley,cat,Gato,2460803,Chá,54.4 hours,10,10,9,10,10
82,7075,9,1IyS12,Amália,Amáliazi,Female,Shane,dog,Pomodoro,200711,Amálias,13.8 hours,9,4,6,2,3
83,5415,10,1Jz3iu,Benny,SDVE,Male,Unmarried,dog,Sheebs,197336,Mt Dew,4.0 hours,6,4,8,3,2
84,6156,12,1Jc4Li,pedro,do sol,Male,Leah,dog,Iogue,12862206,carros,10.0 hours,10,10,10,10,10
85,5033,5,1JQMkV,Mae,Fox Pine,Female,Unmarried,cat,Anna,1702865,Nature,77.0 hours,10,8,10,10,6
86,15899,13,1Cvjyw,Jack,Bradle,Male,Emily,dog,Boon,240905,Baseball,39.4 hours,9,8,8,6,9
87,10428,5,1G2E22,Bernard,Owl,Male,Unmarried,dog,Fred,389787,Sashimi,41.7 hours,10,10,8,8,10
88,10608,0,1FVwvC,Bing,Bing,Female,Unmarried,dog,Wumbus,62555,Bing,13.6 hours,6,3,5,7,2
89,11189,1,1FEVFx,みきひろ,ライオット,Male,Unmarried,cat,ミヤ,433492,ハムスター,36.3 hours,10,9,8,7,7
90,11699,14,1FqtXO,Marvin,Daybreak,Male,Unmarried,dog,Duncan,642379,Food,50.4 hours,10,8,10,10,8
91,7395,11,1Ido42,Eustáquio,Corage,Male,Emily,dog,Tako,2060327,Batata,114.9 hours,10,9,10,10,8
92,14095,8,1DJuHK,LimeMutant,LimeLand,Male,Emily,dog,Dowgy,7320855,Lime,190.4 hours,,,,,
93,11519,10,1Fv9JS,Javier,Outsiders,Male,Haley,dog,Swiper,4017489,PC,101.0 hours,10,10,10,10,10
